File,Window,Time Start,Time End,Predicted,Ground Truth
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,6,6.0,7.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,7,7.0,8.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,8,8.0,9.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,9,9.0,10.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,10,10.0,11.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,11,11.0,12.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,12,12.0,13.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,13,13.0,14.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,14,14.0,15.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,15,15.0,16.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,16,16.0,17.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,17,17.0,18.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,18,18.0,19.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,19,19.0,20.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,20,20.0,21.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,21,21.0,22.0,Beluga White Whale,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,22,22.0,23.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,23,23.0,24.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,24,24.0,25.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,25,25.0,26.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,26,26.0,27.0,Beluga White Whale,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,27,27.0,28.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,28,28.0,29.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,29,29.0,30.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,30,30.0,31.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,31,31.0,32.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,32,32.0,33.0,Sperm Whale,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,33,33.0,34.0,Sperm Whale,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,34,34.0,35.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,35,35.0,36.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,36,36.0,37.0,Harp Seal,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,37,37.0,38.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,38,38.0,39.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,39,39.0,40.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,40,40.0,41.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,41,41.0,42.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,42,42.0,43.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,43,43.0,44.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,44,44.0,45.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,45,45.0,46.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,46,46.0,47.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,47,47.0,48.0,Harp Seal,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,48,48.0,49.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,49,49.0,50.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,50,50.0,51.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,51,51.0,52.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,52,52.0,53.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,53,53.0,54.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,54,54.0,55.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,55,55.0,56.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,56,56.0,57.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,57,57.0,58.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,58,58.0,59.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,59,59.0,60.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,60,60.0,61.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,61,61.0,62.0,Beluga White Whale,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,62,62.0,63.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,63,63.0,64.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,64,64.0,65.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,65,65.0,66.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,66,66.0,67.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,67,67.0,68.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,68,68.0,69.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,69,69.0,70.0,Harp Seal,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,70,70.0,71.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,71,71.0,72.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,72,72.0,73.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,73,73.0,74.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,74,74.0,75.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,75,75.0,76.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,76,76.0,77.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,77,77.0,78.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,78,78.0,79.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,79,79.0,80.0,Harp Seal,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,80,80.0,81.0,Harp Seal,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,81,81.0,82.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,82,82.0,83.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,83,83.0,84.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,84,84.0,85.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,85,85.0,86.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,86,86.0,87.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,87,87.0,88.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,88,88.0,89.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,89,89.0,90.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,90,90.0,91.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,91,91.0,92.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,92,92.0,93.0,Harp Seal,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,93,93.0,94.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,94,94.0,95.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,95,95.0,96.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,96,96.0,97.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,97,97.0,98.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,98,98.0,99.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,99,99.0,100.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,100,100.0,101.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,101,101.0,102.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,102,102.0,103.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,103,103.0,104.0,Harp Seal,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,104,104.0,105.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,105,105.0,106.0,Harp Seal,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,106,106.0,107.0,Sperm Whale,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,107,107.0,108.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,108,108.0,109.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,109,109.0,110.0,khong,Beluga White Whale
audio2025_rec/Beluga White Whale/Beluga White Whale.wav,110,110.0,111.0,khong,Beluga White Whale
