File,Window,Time Start,Time End,Predicted,Ground Truth
clean/Beluga White Whale/Beluga White Whale_19.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_20.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_21.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_22.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_23.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_24.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_25.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_26.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_27.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_28.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_29.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_30.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_31.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_32.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_33.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_34.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_35.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_36.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_37.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_38.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_39.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_40.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_41.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_42.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_43.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_44.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_45.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_46.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_47.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_48.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_49.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_50.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_51.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_52.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_53.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_54.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_55.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_56.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_57.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_58.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_59.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_60.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_61.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_62.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_63.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_64.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_65.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_66.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_67.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_68.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_69.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_70.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_71.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_72.wav,0,0.0,1.0,White-beaked Dolphin,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_73.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_74.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_75.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_76.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_77.wav,0,0.0,1.0,Killer Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_78.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_79.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_80.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_81.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_82.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_83.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_84.wav,0,0.0,1.0,khong,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_85.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_86.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_87.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_88.wav,0,0.0,1.0,Killer Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_89.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_90.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_91.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_92.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_93.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_94.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_95.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_96.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_97.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_98.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_99.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_100.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_101.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_102.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_103.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_104.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_105.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_106.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_107.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_108.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_109.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_110.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_111.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_112.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_113.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_114.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
clean/Beluga White Whale/Beluga White Whale_115.wav,0,0.0,1.0,Beluga White Whale,Beluga White Whale
